entity_1,relationship,entity_2
1791,3,405
1791,3,431
1791,3,3615
1791,2,2114
1791,0,1093
1791,0,4424
1791,0,928
1791,0,4611
1791,4,22
1791,1,156
3347,3,431
3347,3,3065
3347,3,3615
3347,2,3436
3347,0,3160
3347,0,2699
3347,0,2938
3347,0,1068
3347,4,20
3347,1,1622
3773,3,1880
3773,3,4251
3773,2,2755
3773,0,2122
3773,0,722
3773,0,1811
3773,0,2241
3773,4,24
3773,1,4246
3733,3,672
3733,3,1170
3733,3,1574
3733,2,1113
3733,0,2872
3733,0,3398
3733,0,3667
3733,0,3613
3733,4,24
3733,1,1962
3843,3,405
3843,3,431
3843,3,1579
3843,2,1278
3843,0,4546
3843,0,2152
3843,0,2803
3843,0,4433
3843,4,24
3843,1,266
4014,3,405
4014,3,431
4014,3,1579
4014,2,4583
4014,0,2860
4014,0,4253
4014,0,4548
4014,0,656
4014,4,24
4014,1,1545
2587,3,1170
2587,3,1414
2587,3,3059
2587,2,1221
2587,0,3542
2587,0,1509
2587,0,3513
2587,0,2057
2587,4,24
2587,1,180
3003,3,1170
3003,2,3642
3003,0,1538
3003,0,637
3003,0,2405
3003,0,2510
3003,4,24
3003,1,167
4068,3,405
4068,3,431
4068,3,885
4068,2,2113
4068,0,1066
4068,0,3468
4068,0,3717
4068,0,4289
4068,4,24
4068,1,324
3239,3,431
3239,3,1414
3239,3,3496
3239,2,3047
3239,0,2212
3239,0,1093
3239,0,2960
3239,0,2619
3239,4,24
3239,1,286
1576,3,431
1576,3,1574
1576,3,1579
1576,2,1308
1576,0,1451
1576,0,2474
1576,0,547
1576,0,1229
1576,4,24
1576,1,4144
1862,3,885
1862,3,1414
1862,3,1871
1862,2,4216
1862,0,3885
1862,0,3175
1862,0,2143
1862,0,2522
1862,4,24
1862,1,4194
3488,3,405
3488,3,431
3488,3,3615
3488,2,1701
3488,0,1588
3488,0,1368
3488,0,492
3488,0,1402
3488,4,24
3488,1,4101
3021,3,672
3021,3,431
3021,3,1170
3021,2,3498
3021,0,787
3021,0,1433
3021,0,3365
3021,0,3903
3021,4,24
3021,1,1949
1168,3,405
1168,3,1170
1168,3,1414
1168,2,3071
1168,0,692
1168,0,2173
1168,0,791
1168,0,4259
1168,4,24
1168,1,1755
4107,3,672
4107,3,431
4107,3,1170
4107,2,1094
4107,0,2714
4107,0,1528
4107,0,2524
4107,0,2596
4107,4,24
4107,1,4172
1804,3,885
1804,3,1414
1804,3,1871
1804,2,2908
1804,0,641
1804,0,3576
1804,0,2739
1804,0,3909
1804,4,24
1804,1,4437
2158,3,405
2158,3,4251
2158,2,3263
2158,0,2860
2158,0,4303
2158,0,541
2158,0,4426
2158,4,24
2158,1,3960
2684,3,885
2684,3,1414
2684,2,1707
2684,0,1354
2684,0,3135
2684,0,3504
2684,0,3848
2684,4,24
2684,1,129
742,3,1414
742,3,3065
742,3,3615
742,2,1335
742,0,579
742,0,2223
742,0,1633
742,0,2963
742,4,24
742,1,4522
1759,3,431
1759,3,1414
1759,3,4251
1759,2,3800
1759,0,2872
1759,0,1453
1759,0,990
1759,0,1184
1759,4,24
1759,1,2513
2788,3,1414
2788,2,2511
2788,0,1037
2788,0,2976
2788,0,2579
2788,0,2728
2788,4,24
2788,1,100
1884,3,1200
1884,3,1414
1884,3,1880
1884,2,852
1884,0,1505
1884,0,769
1884,0,3796
1884,0,3859
1884,4,24
1884,1,88
4338,3,672
4338,3,431
4338,3,1170
4338,2,4441
4338,0,681
4338,0,2437
4338,0,4614
4338,0,1124
4338,4,24
4338,1,466
2010,3,405
2010,3,431
2010,3,3615
2010,2,3489
2010,0,2658
2010,0,2189
2010,0,875
2010,0,2775
2010,4,24
2010,1,4359
3237,3,1170
3237,2,1388
3237,0,1601
3237,0,1388
3237,0,1514
3237,0,3319
3237,4,24
3237,1,1602
807,3,405
807,3,431
807,3,1414
807,2,3552
807,0,3336
807,0,3379
