entity_1,relationship,entity_2
Guardians of the Galaxy,genre,Action
Guardians of the Galaxy,genre,Adventure
Guardians of the Galaxy,genre,Sci-Fi
Guardians of the Galaxy,directed_by,James Gunn
Guardians of the Galaxy,acted_by,Chris Pratt
Guardians of the Galaxy,acted_by,Vin Diesel
Guardians of the Galaxy,acted_by,Bradley Cooper
Guardians of the Galaxy,acted_by,Zoe Saldana
Guardians of the Galaxy,released_in,2014
Guardians of the Galaxy,described_as,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
Prometheus,genre,Adventure
Prometheus,genre,Mystery
Prometheus,genre,Sci-Fi
Prometheus,directed_by,Ridley Scott
Prometheus,acted_by,Noomi Rapace
Prometheus,acted_by,Logan Marshall-Green
Prometheus,acted_by,Michael Fassbender
Prometheus,acted_by,Charlize Theron
Prometheus,released_in,2012
Prometheus,described_as,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
Split,genre,Horror
Split,genre,Thriller
Split,directed_by,M. Night Shyamalan
Split,acted_by,James McAvoy
Split,acted_by,Anya Taylor-Joy
Split,acted_by,Haley Lu Richardson
Split,acted_by,Jessica Sula
Split,released_in,2016
Split,described_as,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Sing,genre,Animation
Sing,genre,Comedy
Sing,genre,Family
Sing,directed_by,Christophe Lourdelet
Sing,acted_by,Matthew McConaughey
Sing,acted_by,Reese Witherspoon
Sing,acted_by,Seth MacFarlane
Sing,acted_by,Scarlett Johansson
Sing,released_in,2016
Sing,described_as,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same."
Suicide Squad,genre,Action
Suicide Squad,genre,Adventure
Suicide Squad,genre,Fantasy
Suicide Squad,directed_by,David Ayer
Suicide Squad,acted_by,Will Smith
Suicide Squad,acted_by,Jared Leto
Suicide Squad,acted_by,Margot Robbie
Suicide Squad,acted_by,Viola Davis
Suicide Squad,released_in,2016
Suicide Squad,described_as,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
The Great Wall,genre,Action
The Great Wall,genre,Adventure
The Great Wall,genre,Fantasy
The Great Wall,directed_by,Yimou Zhang
The Great Wall,acted_by,Matt Damon
The Great Wall,acted_by,Tian Jing
The Great Wall,acted_by,Willem Dafoe
The Great Wall,acted_by,Andy Lau
The Great Wall,released_in,2016
The Great Wall,described_as,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.
La La Land,genre,Comedy
La La Land,genre,Drama
La La Land,genre,Music
La La Land,directed_by,Damien Chazelle
La La Land,acted_by,Ryan Gosling
