entity_1,relationship,entity_2
1791,6,405
1791,7,405
1791,6,431
1791,7,431
1791,6,3615
1791,7,3615
1791,5,2114
1791,4,2114
1791,0,1093
1093,1,1791
1791,0,4424
4424,1,1791
1791,0,928
928,1,1791
1791,0,4611
4611,1,1791
1791,9,22
22,8,1791
1791,2,156
156,3,1791
3347,6,431
3347,7,431
3347,6,3065
3347,7,3065
3347,6,3615
3347,7,3615
3347,5,3436
3347,4,3436
3347,0,3160
3160,1,3347
3347,0,2699
2699,1,3347
3347,0,2938
2938,1,3347
3347,0,1068
1068,1,3347
3347,9,20
20,8,3347
3347,2,1622
1622,3,3347
3773,6,1880
3773,7,1880
3773,6,4251
3773,7,4251
3773,5,2755
3773,4,2755
3773,0,2122
2122,1,3773
3773,0,722
722,1,3773
3773,0,1811
1811,1,3773
3773,0,2241
2241,1,3773
3773,9,24
24,8,3773
3773,2,4246
4246,3,3773
3733,6,672
3733,7,672
3733,6,1170
3733,7,1170
3733,6,1574
3733,7,1574
3733,5,1113
3733,4,1113
3733,0,2872
2872,1,3733
3733,0,3398
3398,1,3733
3733,0,3667
3667,1,3733
3733,0,3613
3613,1,3733
3733,9,24
24,8,3733
3733,2,1962
1962,3,3733
3843,6,405
3843,7,405
3843,6,431
3843,7,431
3843,6,1579
3843,7,1579
3843,5,1278
3843,4,1278
3843,0,4546
4546,1,3843
3843,0,2152
2152,1,3843
3843,0,2803
2803,1,3843
3843,0,4433
4433,1,3843
3843,9,24
24,8,3843
3843,2,266
266,3,3843
4014,6,405
4014,7,405
4014,6,431
4014,7,431
4014,6,1579
4014,7,1579
4014,5,4583
4014,4,4583
4014,0,2860
2860,1,4014
4014,0,4253
4253,1,4014
4014,0,4548
4548,1,4014
4014,0,656
656,1,4014
4014,9,24
24,8,4014
4014,2,1545
1545,3,4014
2587,6,1170
2587,7,1170
2587,6,1414
2587,7,1414
2587,6,3059
2587,7,3059
2587,5,1221
2587,4,1221
2587,0,3542
3542,1,2587
2587,0,1509
1509,1,2587
2587,0,3513
3513,1,2587
2587,0,2057
2057,1,2587
2587,9,24
24,8,2587
2587,2,180
180,3,2587
3003,6,1170
3003,7,1170
3003,5,3642
3003,4,3642
3003,0,1538
1538,1,3003
3003,0,637
637,1,3003
3003,0,2405
2405,1,3003
3003,0,2510
2510,1,3003
3003,9,24
24,8,3003
3003,2,167
167,3,3003
4068,6,405
4068,7,405
4068,6,431
4068,7,431
4068,6,885
4068,7,885
4068,5,2113
4068,4,2113
4068,0,1066
1066,1,4068
4068,0,3468
3468,1,4068
4068,0,3717
3717,1,4068
4068,0,4289
4289,1,4068
4068,9,24
24,8,4068
4068,2,324
324,3,4068
3239,6,431
3239,7,431
3239,6,1414
3239,7,1414
3239,6,3496
3239,7,3496
3239,5,3047
3239,4,3047
3239,0,2212
2212,1,3239
3239,0,1093
1093,1,3239
3239,0,2960
2960,1,3239
3239,0,2619
2619,1,3239
3239,9,24
24,8,3239
3239,2,286
286,3,3239
1576,6,431
1576,7,431
1576,6,1574
1576,7,1574
1576,6,1579
1576,7,1579
1576,5,1308
1576,4,1308
1576,0,1451
1451,1,1576
1576,0,2474
2474,1,1576
1576,0,547
547,1,1576
1576,0,1229
1229,1,1576
1576,9,24
24,8,1576
1576,2,4144
4144,3,1576
1862,6,885
1862,7,885
1862,6,1414
1862,7,1414
1862,6,1871
1862,7,1871
1862,5,4216
1862,4,4216
1862,0,3885
3885,1,1862
1862,0,3175
3175,1,1862
1862,0,2143
2143,1,1862
1862,0,2522
2522,1,1862
1862,9,24
24,8,1862
1862,2,4194
4194,3,1862
3488,6,405
3488,7,405
3488,6,431
3488,7,431
3488,6,3615
3488,7,3615
3488,5,1701
3488,4,1701
3488,0,1588
1588,1,3488
3488,0,1368
1368,1,3488
3488,0,492
492,1,3488
3488,0,1402
1402,1,3488
3488,9,24
24,8,3488
3488,2,4101
4101,3,3488
3021,6,672
3021,7,672
3021,6,431
3021,7,431
3021,6,1170
3021,7,1170
3021,5,3498
3021,4,3498
3021,0,787
787,1,3021
3021,0,1433
1433,1,3021
3021,0,3365
3365,1,3021
3021,0,3903
3903,1,3021
3021,9,24
24,8,3021
3021,2,1949
1949,3,3021
1168,6,405
1168,7,405
1168,6,1170
1168,7,1170
1168,6,1414
1168,7,1414
1168,5,3071
1168,4,3071
1168,0,692
692,1,1168
1168,0,2173
2173,1,1168
1168,0,791
791,1,1168
1168,0,4259
4259,1,1168
1168,9,24
24,8,1168
1168,2,1755
1755,3,1168
4107,6,672
4107,7,672
4107,6,431
4107,7,431
4107,6,1170
4107,7,1170
4107,5,1094
4107,4,1094
4107,0,2714
2714,1,4107
4107,0,1528
1528,1,4107
4107,0,2524
2524,1,4107
4107,0,2596
2596,1,4107
4107,9,24
24,8,4107
4107,2,4172
4172,3,4107
1804,6,885
1804,7,885
1804,6,1414
1804,7,1414
1804,6,1871
1804,7,1871
1804,5,2908
1804,4,2908
1804,0,641
641,1,1804
1804,0,3576
3576,1,1804
1804,0,2739
2739,1,1804
1804,0,3909
3909,1,1804
1804,9,24
24,8,1804
1804,2,4437
4437,3,1804
2158,6,405
2158,7,405
2158,6,4251
2158,7,4251
