entity_1,relationship,entity_2
Guardians of the Galaxy,genre,Action
Guardians of the Galaxy,genre,Adventure
Guardians of the Galaxy,genre,Sci-Fi
Guardians of the Galaxy,directed_by,James Gunn
Guardians of the Galaxy,acted_by,Chris Pratt
Guardians of the Galaxy,acted_by,Vin Diesel
Guardians of the Galaxy,acted_by,Bradley Cooper
Guardians of the Galaxy,acted_by,Zoe Saldana
Prometheus,genre,Adventure
Prometheus,genre,Mystery
Prometheus,genre,Sci-Fi
Prometheus,directed_by,Ridley Scott
Prometheus,acted_by,Noomi Rapace
Prometheus,acted_by,Logan Marshall-Green
Prometheus,acted_by,Michael Fassbender
Prometheus,acted_by,Charlize Theron
Split,genre,Horror
Split,genre,Thriller
Split,directed_by,M. Night Shyamalan
Split,acted_by,James McAvoy
Split,acted_by,Anya Taylor-Joy
Split,acted_by,Haley Lu Richardson
Split,acted_by,Jessica Sula
Sing,genre,Animation
Sing,genre,Comedy
Sing,genre,Family
Sing,directed_by,Christophe Lourdelet
Sing,acted_by,Matthew McConaughey
Sing,acted_by,Reese Witherspoon
Sing,acted_by,Seth MacFarlane
Sing,acted_by,Scarlett Johansson
Suicide Squad,genre,Action
Suicide Squad,genre,Adventure
Suicide Squad,genre,Fantasy
Suicide Squad,directed_by,David Ayer
Suicide Squad,acted_by,Will Smith
Suicide Squad,acted_by,Jared Leto
Suicide Squad,acted_by,Margot Robbie
Suicide Squad,acted_by,Viola Davis
The Great Wall,genre,Action
The Great Wall,genre,Adventure
The Great Wall,genre,Fantasy
The Great Wall,directed_by,Yimou Zhang
The Great Wall,acted_by,Matt Damon
The Great Wall,acted_by,Tian Jing
The Great Wall,acted_by,Willem Dafoe
The Great Wall,acted_by,Andy Lau
La La Land,genre,Comedy
La La Land,genre,Drama
La La Land,genre,Music
La La Land,directed_by,Damien Chazelle
La La Land,acted_by,Ryan Gosling
La La Land,acted_by,Emma Stone
La La Land,acted_by,Rosemarie DeWitt
La La Land,acted_by,J.K. Simmons
Mindhorn,genre,Comedy
Mindhorn,directed_by,Sean Foley
Mindhorn,acted_by,Essie Davis
Mindhorn,acted_by,Andrea Riseborough
Mindhorn,acted_by,Julian Barratt
Mindhorn,acted_by,Kenneth Branagh
The Lost City of Z,genre,Action
The Lost City of Z,genre,Adventure
The Lost City of Z,genre,Biography
The Lost City of Z,directed_by,James Gray
The Lost City of Z,acted_by,Charlie Hunnam
The Lost City of Z,acted_by,Robert Pattinson
The Lost City of Z,acted_by,Sienna Miller
The Lost City of Z,acted_by,Tom Holland
Passengers,genre,Adventure
Passengers,genre,Drama
Passengers,genre,Romance
Passengers,directed_by,Morten Tyldum
Passengers,acted_by,Jennifer Lawrence
Passengers,acted_by,Chris Pratt
Passengers,acted_by,Michael Sheen
